## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT mapped/X1a.bam --OUTPUT dedupe/X1a.bam --METRICS_FILE dedupe/X1a.metrics.txt --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 11 17:29:18 PDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	932	58644111	79858816	5931952	840	24810563	557459	0.423074	48427703

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
447.0	0	8	0	2
448.0	0	9	0	8
449.0	0	7	0	10
450.0	0	11	0	5
451.0	0	4	0	5
452.0	0	6	0	5
453.0	0	6	0	5
454.0	0	6	0	5
455.0	0	7	0	4
456.0	0	4	0	5
457.0	0	3	0	10
458.0	0	8	0	6
459.0	0	2	0	5
460.0	0	8	0	5
461.0	0	4	0	3
462.0	0	6	0	3
463.0	0	7	0	8
464.0	0	7	0	8
465.0	0	4	0	1
466.0	0	3	0	9
467.0	0	8	0	5
468.0	0	5	0	8
469.0	0	6	0	9
470.0	0	2	0	2
471.0	0	5	0	7
472.0	0	7	0	5
473.0	0	7	0	4
474.0	0	9	0	6
475.0	0	8	0	6
476.0	0	2	0	9
477.0	0	4	0	2
478.0	0	7	0	3
479.0	0	7	0	9
480.0	0	5	0	2
481.0	0	0	0	1
482.0	0	7	0	6
483.0	0	6	0	6
484.0	0	5	0	6
485.0	0	6	0	3
486.0	0	4	0	6
487.0	0	2	0	6
488.0	0	6	0	1
489.0	0	3	0	4
490.0	0	6	0	3
491.0	0	4	0	4
492.0	0	4	0	4
493.0	0	4	0	5
494.0	0	4	0	5
495.0	0	3	0	1
496.0	0	6	0	4
497.0	0	2	0	5
498.0	0	2	0	6
499.0	0	5	0	1
500.0	0	5	0	3
501.0	0	4	0	3
502.0	0	5	0	7
503.0	0	2	0	8
504.0	0	7	0	4
505.0	0	5	0	2
506.0	0	4	0	3
507.0	0	5	0	8
508.0	0	2	0	4
509.0	0	5	0	4
510.0	0	2	0	5
511.0	0	4	0	2
512.0	0	6	0	6
513.0	0	1	0	3
514.0	0	5	0	2
515.0	0	2	0	4
516.0	0	9	0	6
517.0	0	4	0	4
518.0	0	4	0	5
519.0	0	2	0	10
520.0	0	4	0	5
521.0	0	5	0	4
522.0	0	6	0	4
523.0	0	5	0	3
524.0	0	7	0	3
525.0	0	3	0	3
526.0	0	4	0	4
527.0	0	9	0	6
528.0	0	6	0	0
529.0	0	1	0	4
530.0	0	1	0	6
531.0	0	3	0	2
532.0	0	1	0	4
533.0	0	2	0	1
534.0	0	7	0	2
535.0	0	1	0	3
536.0	0	5	0	4
537.0	0	2	0	5
538.0	0	5	0	5
539.0	0	2	0	2
540.0	0	2	0	2
541.0	0	3	0	4
542.0	0	6	0	2
543.0	0	3	0	4
544.0	0	2	0	3
545.0	0	2	0	2
546.0	0	5	0	1
547.0	0	1	0	1
548.0	0	2	0	2
549.0	0	1	0	3
550.0	0	3	0	4
551.0	0	4	0	2
552.0	0	4	0	7
553.0	0	3	0	6
554.0	0	3	0	3
555.0	0	8	0	0
556.0	0	3	0	4
557.0	0	2	0	5
558.0	0	2	0	3
559.0	0	1	0	2
560.0	0	3	0	2
561.0	0	7	0	4
562.0	0	4	0	5
563.0	0	3	0	4
564.0	0	4	0	9
565.0	0	2	0	11
566.0	0	5	0	0
567.0	0	4	0	4
568.0	0	3	0	1
569.0	0	10	0	2
570.0	0	1	0	2
571.0	0	5	0	3
572.0	0	4	0	4
573.0	0	1	0	2
574.0	0	7	0	1
575.0	0	2	0	3
576.0	0	1	0	2
577.0	0	2	0	2
578.0	0	0	0	2
579.0	0	2	0	4
580.0	0	4	0	2
581.0	0	3	0	2
582.0	0	4	0	2
583.0	0	4	0	3
584.0	0	2	0	2
585.0	0	2	0	6
586.0	0	3	0	1
587.0	0	1	0	3
588.0	0	3	0	4
589.0	0	2	0	0
590.0	0	2	0	5
591.0	0	2	0	3
592.0	0	5	0	2
593.0	0	3	0	2
594.0	0	1	0	1
595.0	0	4	0	3
596.0	0	1	0	1
597.0	0	1	0	3
598.0	0	2	0	1
599.0	0	4	0	3
600.0	0	1	0	3
601.0	0	2	0	4
602.0	0	1	0	0
603.0	0	4	0	5
604.0	0	3	0	4
605.0	0	3	0	1
606.0	0	2	0	1
607.0	0	6	0	2
608.0	0	1	0	5
609.0	0	1	0	1
610.0	0	3	0	1
611.0	0	0	0	3
612.0	0	3	0	2
613.0	0	2	0	5
614.0	0	1	0	3
615.0	0	4	0	1
616.0	0	4	0	5
617.0	0	3	0	0
618.0	0	3	0	2
619.0	0	5	0	1
620.0	0	1	0	1
621.0	0	1	0	4
622.0	0	0	0	1
623.0	0	3	0	2
624.0	0	1	0	4
625.0	0	1	0	4
626.0	0	6	0	0
627.0	0	3	0	3
628.0	0	2	0	6
629.0	0	1	0	0
630.0	0	2	0	0
631.0	0	3	0	2
632.0	0	2	0	0
633.0	0	1	0	0
634.0	0	5	0	3
635.0	0	0	0	1
636.0	0	0	0	1
637.0	0	3	0	2
638.0	0	1	0	3
639.0	0	0	0	1
640.0	0	0	0	2
641.0	0	5	0	5
642.0	0	1	0	1
643.0	0	1	0	1
644.0	0	3	0	1
645.0	0	2	0	1
646.0	0	3	0	2
648.0	0	3	0	3
649.0	0	3	0	1
650.0	0	2	0	1
651.0	0	0	0	3
652.0	0	3	0	3
653.0	0	0	0	3
654.0	0	3	0	3
655.0	0	1	0	4
656.0	0	1	0	1
657.0	0	4	0	0
658.0	0	2	0	1
659.0	0	0	0	1
660.0	0	4	0	1
661.0	0	3	0	2
662.0	0	2	0	1
663.0	0	2	0	0
664.0	0	0	0	3
665.0	0	0	0	1
666.0	0	2	0	1
668.0	0	1	0	4
669.0	0	4	0	1
670.0	0	1	0	1
671.0	0	0	0	2
672.0	0	3	0	2
673.0	0	1	0	0
674.0	0	0	0	1
675.0	0	0	0	1
676.0	0	6	0	4
679.0	0	2	0	0
680.0	0	0	0	1
681.0	0	2	0	2
682.0	0	1	0	1
683.0	0	1	0	1
684.0	0	0	0	1
685.0	0	0	0	1
686.0	0	2	0	0
687.0	0	2	0	5
688.0	0	1	0	1
689.0	0	3	0	2
690.0	0	1	0	3
691.0	0	3	0	2
692.0	0	0	0	1
693.0	0	1	0	3
694.0	0	2	0	2
695.0	0	1	0	3
696.0	0	3	0	0
697.0	0	1	0	3
698.0	0	4	0	2
699.0	0	3	0	0
700.0	0	1	0	2
701.0	0	1	0	2
702.0	0	2	0	1
703.0	0	1	0	0
704.0	0	1	0	2
705.0	0	0	0	1
706.0	0	2	0	1
707.0	0	1	0	0
708.0	0	1	0	1
709.0	0	0	0	2
710.0	0	3	0	1
711.0	0	2	0	1
712.0	0	3	0	1
713.0	0	2	0	2
714.0	0	1	0	2
715.0	0	2	0	0
716.0	0	0	0	3
717.0	0	1	0	1
718.0	0	0	0	4
720.0	0	0	0	1
721.0	0	1	0	1
722.0	0	2	0	2
723.0	0	1	0	2
724.0	0	5	0	1
725.0	0	1	0	1
726.0	0	1	0	4
727.0	0	2	0	3
728.0	0	1	0	4
729.0	0	3	0	1
731.0	0	3	0	4
732.0	0	1	0	3
733.0	0	4	0	0
734.0	0	3	0	1
735.0	0	3	0	1
736.0	0	1	0	3
737.0	0	5	0	1
739.0	0	2	0	2
740.0	0	0	0	1
741.0	0	1	0	3
742.0	0	0	0	1
743.0	0	3	0	3
744.0	0	2	0	0
747.0	0	0	0	1
748.0	0	2	0	2
749.0	0	0	0	2
750.0	0	3	0	0
751.0	0	3	0	3
752.0	0	1	0	2
754.0	0	4	0	0
755.0	0	2	0	1
756.0	0	1	0	3
757.0	0	1	0	1
758.0	0	1	0	2
759.0	0	0	0	1
760.0	0	1	0	1
761.0	0	1	0	1
762.0	0	0	0	2
763.0	0	0	0	4
764.0	0	1	0	0
765.0	0	2	0	1
766.0	0	1	0	3
767.0	0	2	0	1
768.0	0	5	0	1
769.0	0	0	0	1
770.0	0	2	0	2
771.0	0	1	0	1
772.0	0	3	0	0
773.0	0	4	0	1
774.0	0	0	0	2
775.0	0	0	0	1
776.0	0	1	0	2
777.0	0	1	0	0
778.0	0	1	0	2
779.0	0	1	0	0
780.0	0	2	0	1
782.0	0	3	0	3
783.0	0	1	0	0
784.0	0	0	0	1
785.0	0	2	0	1
786.0	0	1	0	0
787.0	0	1	0	1
788.0	0	0	0	1
791.0	0	2	0	1
792.0	0	1	0	0
793.0	0	2	0	2
794.0	0	1	0	1
795.0	0	0	0	1
796.0	0	0	0	2
797.0	0	1	0	2
798.0	0	1	0	0
799.0	0	4	0	1
800.0	0	0	0	3
803.0	0	0	0	1
804.0	0	5	0	1
805.0	0	0	0	1
806.0	0	2	0	0
808.0	0	0	0	2
809.0	0	1	0	1
810.0	0	2	0	1
811.0	0	0	0	4
812.0	0	1	0	2
813.0	0	1	0	0
814.0	0	0	0	3
815.0	0	2	0	4
816.0	0	1	0	1
818.0	0	3	0	0
819.0	0	2	0	2
820.0	0	1	0	0
821.0	0	1	0	0
822.0	0	2	0	0
823.0	0	3	0	1
824.0	0	1	0	0
826.0	0	1	0	0
827.0	0	0	0	2
830.0	0	1	0	0
833.0	0	1	0	0
834.0	0	1	0	1
835.0	0	1	0	0
836.0	0	0	0	2
838.0	0	1	0	0
840.0	0	1	0	1
841.0	0	0	0	2
843.0	0	0	0	1
844.0	0	2	0	0
845.0	0	0	0	1
846.0	0	1	0	1
847.0	0	0	0	2
848.0	0	0	0	3
849.0	0	0	0	1
850.0	0	2	0	0
851.0	0	0	0	1
852.0	0	1	0	1
853.0	0	2	0	1
854.0	0	0	0	2
855.0	0	0	0	1
856.0	0	2	0	0
857.0	0	2	0	1
859.0	0	3	0	0
860.0	0	1	0	0
861.0	0	1	0	0
862.0	0	1	0	1
863.0	0	0	0	2
865.0	0	1	0	0
868.0	0	1	0	0
869.0	0	0	0	2
870.0	0	0	0	1
871.0	0	1	0	2
872.0	0	1	0	1
873.0	0	1	0	1
874.0	0	0	0	2
875.0	0	0	0	1
876.0	0	2	0	1
877.0	0	1	0	1
878.0	0	2	0	1
879.0	0	1	0	0
880.0	0	1	0	0
882.0	0	1	0	0
883.0	0	1	0	0
884.0	0	1	0	1
885.0	0	1	0	3
887.0	0	0	0	1
889.0	0	2	0	0
891.0	0	1	0	2
892.0	0	1	0	1
893.0	0	1	0	0
895.0	0	2	0	0
897.0	0	0	0	2
898.0	0	2	0	1
899.0	0	0	0	1
901.0	0	1	0	0
902.0	0	0	0	1
903.0	0	0	0	2
904.0	0	1	0	1
906.0	0	1	0	0
907.0	0	2	0	0
909.0	0	0	0	3
910.0	0	1	0	0
911.0	0	1	0	2
912.0	0	1	0	1
913.0	0	2	0	1
914.0	0	0	0	1
918.0	0	2	0	0
920.0	0	1	0	2
921.0	0	2	0	1
923.0	0	1	0	0
926.0	0	1	0	0
928.0	0	1	0	0
929.0	0	1	0	0
